id,addressee,delivery_line_1,delivery_line_2,last_line,address_type,raw_address,latitude,longitude
NS_5fc8a931-e,,,,",",fhir_organization,USA,,
NS_b8810abb-1,,,,",",fhir_organization,USA,,
NS_5b5e8157-b,,,,",",fhir_organization,USA,,
NS_47d305ac-3,,,,",",fhir_organization,USA,,
NS_524a0938-a,,,,",",fhir_organization,USA,,
NS_143d444d-6,,,,",",fhir_organization,USA,,
NS_ab7cd381-b,,,,",",fhir_organization,USA,,
NS_a4360b4b-5,,,,",",fhir_organization,USA,,
NS_e8b7993a-b,,,,",",fhir_organization,USA,,
NS_302ff91d-8,,,,",",fhir_organization,USA,,
NS_bb2f45e0-9,,,,",",fhir_organization,USA,,
NS_9b62f730-9,,,,",",fhir_organization,USA,,
NS_27e2b153-9,,,,",",fhir_organization,USA,,
NS_05c9501a-b,,,,",",fhir_organization,USA,,
NS_9c317cd5-2,,,,",",fhir_organization,USA,,
NS_f58b51c9-4,,,,",",fhir_organization,USA,,
NS_948ec942-9,,,,",",fhir_organization,USA,,
NS_ac1b3032-3,,,,",",fhir_organization,USA,,
NS_c81ce183-3,,,,",",fhir_organization,USA,,
NS_a416ab93-4,,,,",",fhir_organization,USA,,
NS_10e040ac-8,,,,",",fhir_organization,USA,,
NS_bb165e26-f,,,,",",fhir_organization,USA,,
NS_11d23133-f,,,,",",fhir_organization,USA,,
NS_1d11bec7-b,,,,",",fhir_organization,USA,,
NS_2f85e861-b,,,,",",fhir_organization,USA,,
NS_49cbd935-1,,,,",",fhir_organization,USA,,
NS_5c3ec38f-e,,,,",",fhir_organization,USA,,
NS_f7120722-c,,,,",",fhir_organization,USA,,
NS_c4b06c1f-d,,,,",",fhir_organization,USA,,
NS_23aec447-8,,,,",",fhir_organization,USA,,
NS_65f07345-c,,,,",",fhir_organization,USA,,
NS_0936a5fa-a,,,,",",fhir_organization,USA,,
NS_fa9f7a94-f,,,,",",fhir_organization,USA,,
NS_79e1e5e7-5,,,,",",fhir_organization,USA,,
NS_3dc5fc8d-d,,,,",",fhir_organization,USA,,
NS_035db94d-2,,,,",",fhir_organization,USA,,
NS_6316073c-c,,,,",",fhir_organization,USA,,
